experiment_id,seed,Heavy_C_accuracy,Heavy_C_class1_f1,Heavy_C_class1_recall,Heavy_K_accuracy,Heavy_K_class1_f1,Heavy_K_class1_recall,Heavy_M_accuracy,Heavy_M_class1_f1,Heavy_M_class1_recall,Med_LM_C_accuracy,Med_LM_C_class1_f1,Med_LM_C_class1_recall,Med_LM_K_accuracy,Med_LM_K_class1_f1,Med_LM_K_class1_recall,Med_RD_C_accuracy,Med_RD_C_class1_f1,Med_RD_C_class1_recall,Med_RD_K_accuracy,Med_RD_K_class1_f1,Med_RD_K_class1_recall,Med_RD_M_accuracy,Med_RD_M_class1_f1,Med_RD_M_class1_recall,Small_C_accuracy,Small_C_class1_f1,Small_C_class1_recall,Small_K_accuracy,Small_K_class1_f1,Small_K_class1_recall,Small_M_accuracy,Small_M_class1_f1,Small_M_class1_recall,accuracy_C,accuracy_F,accuracy_K,accuracy_M,avg_accuracy,global_c0_fp,mean_average_precision,mean_brier_mc_mean,mean_cross_entropy_mc_mean,mean_ece_mc_mean_10bin,performance_gate_failure_count,performance_gate_passed,small_c0_fp,small_k0_fp
A13_with_label_confidence,42,93.01879028939788,89.07490877870788,85.3558206499383,91.2632012069675,75.02986857825566,79.29292929292929,99.36908517350159,85.16129032258064,88.59060402684564,88.623557821304,75.08813160987076,63.26732673267327,91.34692782398713,69.53685583822569,68.68556701030928,77.20298710115411,70.74403206133472,56.57748049052397,86.93822131704006,77.61521580102414,79.95478522984175,96.59198913781398,52.6829268292683,53.20197044334976,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.244673632786,95.53535079386619,91.55923463156466,97.18075722621793,93.13000407110869,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,8.0,0.0,2.1361815754339117,0.45216899816306344
A15_selective_confidence,42,92.47016870113839,88.04702808621816,83.17564788153024,91.11233027019613,74.02180885182811,72.85353535353535,99.17706761761075,79.59183673469387,78.52348993288591,88.69063590018781,75.27134056908184,63.51485148514852,90.98470619801449,66.20784583620096,61.98453608247423,76.97216564833673,70.41172365666434,56.24303232998885,86.1642905634759,75.51556055493062,75.8854559155991,96.75492192803802,47.22222222222223,41.87192118226601,94.0401846320934,59.08667287977632,50.72,96.67390714091772,38.59649122807017,26.643598615916954,94.10806407819712,81.94444444444444,79.57610789980733,88.03433301669155,95.44714343872981,91.23354593567649,97.08576468991723,92.95019677025377,2.1332046332046333,0.889211066887232,0.01230958903033752,0.14988405816257,0.0031092924697870357,11.0,0.0,1.9433318498739058,0.4662992793556591
A16_weak_cell_middle_loss,42,92.55246193937732,88.22381262199089,83.66927190456602,91.1397613496091,75.17985611510791,79.16666666666666,99.14963653819778,79.05405405405406,78.52348993288591,88.1405956533405,73.86162034299232,61.83168316831683,90.78347196136303,65.814266487214,63.01546391752577,77.04005431093007,70.4938056185657,56.29877369007804,86.09640190088255,75.43534642460172,76.71439336850038,96.70061099796334,53.56265356265356,53.69458128078818,94.0401846320934,59.68778696051423,52.0,96.66033125169699,38.5,26.643598615916954,94.31170241650828,83.10940499040306,83.42967244701349,87.9325552992265,95.26733613787488,91.16908671461528,97.09254987108156,92.86538200569956,2.215250965250965,0.8887881311752646,0.012356391176581383,0.14992746082134545,0.00464858348372122,11.0,0.0,2.062008604064679,0.48042956054825486
A17_selective_confidence_weak_cell_loss,42,92.57989301879029,88.26718716113642,83.710407239819,91.11233027019613,75.5608028335301,80.8080808080808,99.28679193526266,81.81818181818181,78.52348993288591,87.95277703246579,73.25789160214413,60.89108910891089,90.98470619801449,69.91260923845192,72.16494845360825,78.07196198234895,72.23654804882241,58.556298773690074,85.79769178547183,76.34293845606544,80.85908063300678,96.91785471826205,57.920792079207914,57.635467980295566,93.98588107521043,60.76173604960141,54.879999999999995,96.7553624762422,40.98765432098765,28.719723183391004,94.13521585663861,82.45445829338448,82.85163776493256,88.1361107341566,95.54892115619487,91.16230153345094,97.16040168272492,93.00193377663183,2.3262548262548264,0.8956678095077403,0.01213110850949306,0.14931494719348848,0.0036673000533556056,12.0,0.0,2.3883696780893042,0.4662992793556591
A18_exact_class1_floor_calibration,42,93.0050747496914,89.0745501285347,85.52036199095022,90.39912220545878,72.8555917480999,84.72222222222221,99.35536963379509,84.98402555910543,89.26174496644296,88.623557821304,75.08813160987076,63.26732673267327,87.6173866380467,63.50844277673545,87.24226804123711,77.20298710115411,70.74403206133472,56.57748049052397,84.58927359131026,73.57579658834888,86.13413715146947,93.90359809911745,44.980940279542565,87.192118226601,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.24128104220382,95.53535079386619,89.81544307233003,96.50563170036641,92.52442665219161,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,5.0,0.0,2.1361815754339117,0.45216899816306344
A19_bounded_class1_floor_calibration,42,93.0050747496914,89.0745501285347,85.52036199095022,91.2632012069675,75.02986857825566,79.29292929292929,99.35536963379509,84.98402555910543,89.26174496644296,88.623557821304,75.08813160987076,63.26732673267327,91.34692782398713,69.53685583822569,68.68556701030928,77.20298710115411,70.74403206133472,56.57748049052397,86.93822131704006,77.61521580102414,79.95478522984175,96.59198913781398,52.6829268292683,53.20197044334976,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.24128104220382,95.53535079386619,91.55923463156466,97.17736463563578,93.12830777581762,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,8.0,0.0,2.1361815754339117,0.45216899816306344
A20_pareto_class1_calibration,42,93.01879028939788,89.07490877870788,85.3558206499383,91.2632012069675,75.02986857825566,79.29292929292929,99.13592099849129,81.524926686217,93.28859060402685,88.623557821304,75.08813160987076,63.26732673267327,91.34692782398713,69.53685583822569,68.68556701030928,77.20298710115411,70.74403206133472,56.57748049052397,86.93822131704006,77.61521580102414,79.95478522984175,96.59198913781398,52.6829268292683,53.20197044334976,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.244673632786,95.53535079386619,91.55923463156466,97.12308318632108,93.11558556113448,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,8.0,0.0,2.1361815754339117,0.45216899816306344
A21_pareto_class1_calibration_1p5,42,93.01879028939788,89.07490877870788,85.3558206499383,91.2632012069675,75.02986857825566,79.29292929292929,99.13592099849129,81.524926686217,93.28859060402685,88.623557821304,75.08813160987076,63.26732673267327,91.34692782398713,69.53685583822569,68.68556701030928,77.20298710115411,70.74403206133472,56.57748049052397,86.93822131704006,77.61521580102414,79.95478522984175,96.59198913781398,52.6829268292683,53.20197044334976,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.244673632786,95.53535079386619,91.55923463156466,97.12308318632108,93.11558556113448,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,8.0,0.0,2.1361815754339117,0.45216899816306344
