experiment_id,seed,Heavy_C_accuracy,Heavy_C_class1_f1,Heavy_C_class1_recall,Heavy_K_accuracy,Heavy_K_class1_f1,Heavy_K_class1_recall,Heavy_M_accuracy,Heavy_M_class1_f1,Heavy_M_class1_recall,Med_LM_C_accuracy,Med_LM_C_class1_f1,Med_LM_C_class1_recall,Med_LM_K_accuracy,Med_LM_K_class1_f1,Med_LM_K_class1_recall,Med_RD_C_accuracy,Med_RD_C_class1_f1,Med_RD_C_class1_recall,Med_RD_K_accuracy,Med_RD_K_class1_f1,Med_RD_K_class1_recall,Med_RD_M_accuracy,Med_RD_M_class1_f1,Med_RD_M_class1_recall,Small_C_accuracy,Small_C_class1_f1,Small_C_class1_recall,Small_K_accuracy,Small_K_class1_f1,Small_K_class1_recall,Small_M_accuracy,Small_M_class1_f1,Small_M_class1_recall,accuracy_C,accuracy_F,accuracy_K,accuracy_M,avg_accuracy,global_c0_fp,mean_average_precision,mean_brier_mc_mean,mean_cross_entropy_mc_mean,mean_ece_mc_mean_10bin,performance_gate_failure_count,performance_gate_passed,small_c0_fp,small_k0_fp
A0_full,42,92.45645316143191,87.98602009611183,82.84656519950637,91.19462350843506,75.4858934169279,76.01010101010101,99.2319297764367,81.08108108108108,80.53691275167785,88.74429836329487,75.43191800878478,63.76237623762376,90.9042125033539,68.65861411315957,69.58762886597938,76.74134419551935,69.96317727511835,55.602006688963215,86.02851323828921,75.46057479734708,77.1665410700829,96.78207739307535,53.43137254901962,53.69458128078818,93.99945696443118,60.39426523297491,53.92,96.74178658702145,40.5940594059406,28.373702422145332,93.79581862612001,81.40994688556253,81.21387283236994,87.97665897679468,95.45732121047632,91.21658298276564,97.00434251594517,92.91372642149545,2.195945945945946,0.8934009110156572,0.01206917257513851,0.14899795432575047,0.0024847388332762755,11.0,0.0,2.284527518172378,0.4662992793556591
A13_with_label_confidence,42,93.01879028939788,89.07490877870788,85.3558206499383,91.2632012069675,75.02986857825566,79.29292929292929,99.36908517350159,85.16129032258064,88.59060402684564,88.623557821304,75.08813160987076,63.26732673267327,91.34692782398713,69.53685583822569,68.68556701030928,77.20298710115411,70.74403206133472,56.57748049052397,86.93822131704006,77.61521580102414,79.95478522984175,96.59198913781398,52.6829268292683,53.20197044334976,94.17594352430085,61.31650135256989,54.400000000000006,96.68748303013848,38.69346733668341,26.643598615916954,94.21667119196307,83.21645628798503,85.74181117533719,88.244673632786,95.53535079386619,91.55923463156466,97.18075722621793,93.13000407110869,2.2393822393822393,0.8936990998209217,0.011812993208877742,0.14831561082974076,0.0033168225164370013,8.0,0.0,2.1361815754339117,0.45216899816306344
A14_no_class_distribution_loss,42,91.23577012755452,85.85970347421996,79.80255039078568,90.76944177753394,72.99813780260708,74.24242424242425,99.08105883966533,76.97594501718213,75.16778523489933,87.88569895358197,72.98833383188754,60.396039603960396,90.68956265092568,67.89107029765674,69.0721649484536,76.86354378818737,70.06324666198172,55.574136008918614,85.28173794976239,72.89647150058161,70.83647324792766,96.4969450101833,50.899742930591266,48.76847290640394,93.95872929676894,59.508644222020024,52.32,96.71463480857996,40.39408866995074,28.373702422145332,94.20309530274234,83.35625859697386,87.57225433526011,87.4779481612159,95.24019541321753,90.86375356222011,96.960238838377,92.63553399375763,2.113899613899614,0.888678359480199,0.012637397725484334,0.15081035695038736,0.003131569032267376,10.0,0.0,2.1806853582554515,0.4945598417408506
