metric,n,mean,sample_standard_deviation,minimum,maximum,mean_ci95_low,mean_ci95_high
average_3class_accuracy_percent,3,93.0810942235491,0.08771804120891703,92.97988193784774,93.13509295698195,92.86319052938386,93.29899791771435
small_k0_false_positive_percent,3,0.45687909189392867,0.008158121650270224,0.45216899816306344,0.4662992793556591,0.4366131942456967,0.4771449895421606
global_c0_false_positive_percent,3,2.2104247104247103,0.025538140068191103,2.191119691119691,2.2393822393822393,2.1469844535941407,2.27386496725528
small_c0_false_positive_percent,3,2.1460713049498095,0.030880670515741435,2.121346981160065,2.1806853582554515,2.0693594667584705,2.2227831431411484
performance_gate_failure_count,3,8.333333333333334,0.5773502691896257,8.0,9.0,6.899115756767953,9.767550909898715
mean_brier_mc_mean,3,0.011840003532900786,0.00010917460013050223,0.01174686946615111,0.011960147923673503,0.011568798791554704,0.012111208274246868
mean_ece_mc_mean_10bin,3,0.0032033372544228327,0.0001545309368656711,0.003027344332314369,0.0033168225164370013,0.002819461126527467,0.0035872133823181985
mean_average_precision,3,0.8923549779365828,0.0016986924777040104,0.8904457596059461,0.8936990998209215,0.888135191892104,0.8965747639810616
Small/K_class1_recall_percent,3,26.87427912341407,1.057110886956367,25.951557093425603,28.027681660899656,24.24827010365646,29.50028814317168
Small/M_class1_recall_percent,3,86.0950545921644,0.3383318481969364,85.74181117533719,86.41618497109826,85.25459168898261,86.93551749534619
Small/C_class1_recall_percent,3,54.080000000000005,0.9991996797437463,52.959999999999994,54.879999999999995,51.59785039401047,56.56214960598954
Med-LM/K_class1_recall_percent,3,67.99828178694158,3.2761709563004002,64.43298969072166,70.87628865979381,59.85982196435546,76.13674160952769
Med-LM/C_class1_recall_percent,3,63.06930693069307,0.8588787907374987,62.12871287128713,63.81188118811881,60.935733736825966,65.20288012456017
Med-RD/K_class1_recall_percent,3,78.69881939211253,1.3232421191726609,77.3172569706104,79.95478522984175,75.41170374214003,81.98593504208502
Med-RD/M_class1_recall_percent,3,53.694581280788185,0.4926108374384235,53.20197044334976,54.187192118226605,52.47086812230565,54.91829443927072
Med-RD/C_class1_recall_percent,3,55.99219620958752,0.8957725016715806,54.96098104793757,56.57748049052397,53.76697395706378,58.217418462111254
Heavy/K_class1_recall_percent,3,78.493265993266,0.7179596847319766,77.90404040404042,79.29292929292929,76.70975526492902,80.27677672160297
Heavy/M_class1_recall_percent,3,90.1565995525727,1.0251847192294905,89.26174496644296,91.2751677852349,87.60989953005611,92.70329957508929
Heavy/C_class1_recall_percent,3,84.91704374057315,1.116984058928628,83.62813656931304,85.60263266145618,82.14230151639897,87.69178596474733
